lastname,firstname,screenname,user_id
Brzezicha,Franziska Maria,fbrzezicha,43297012
Petersen-Brendel,Jan,petersenbrendel,1332638187391430662
Hoop,Katrine,katrinehoop,1046422000095449088
Jensen-Bornhöft,Gyde,gydej,1530171613
Loop,Denise,denise_loop,797403769378131968
Thissen,Karin,karinthissen,1380871650804129792
Nestle,Ingrid Johanna,ingrid_nestle,44359035
Schilke,Michael,michaelschilke3,1178376386
Wadephul,Johann David,jowadephul,389682667
Rix,Sönke,soenkerix,36327895
Aschenberg-Dugnus,Christine Irene,cad59,25980076
Blasel,Jakob,jakobblasel,998243462138023936
Stein,Jens Mathias,stonie_kiel,46498076
Mordhorst,Maximilian,maxmordhorst,2174533082
Beutin,Lorenz Gösta,lgbeutin,136266976
Bernstein,Melanie,mela_bernstein,17836553
Gschwind-Wiese,Gabriele Maria Margareta,gabigschwind,3560085977
Abercron,Ernst Michael,mvabercron,862747349277450240
Stegner,Ralf,ralf_stegner,16808099
Rösch,Philipp,ph_roesch_fdp,1410921931994505218
Möhring,Cornelia,conni_moehring,2596171296
Storjohann,Gero,gero_storjohann,20534846
Schupp,Jan,schupp_fdp,227468116
Bollenbach,Nils,bollenbachnils,1407743075045289986
Wendorf,Sven,svenwendorf,1036696655435886593
Schultz,Malin,hauidoinit,1168736216
Gädechens,Ingo Adolf August,gadechens,1157298670745899014
Hansen,Jörg,jorg_hansen,1097521513870311425
Brunken,Jakob,brunkenjakob,971809228179591168
Witt,Uwe,witt_uwe,4503658823
Spethmann,Susanne,susispethmann,2989592705
Scheer,Nina,ninascheer_spd,845213960060243968
Turowski,Martin,martin_turowski,1053508987
Notz,Konstantin,konstantinnotz,17752770
Schmidtke,Claudia,mdb_schmidtke,1340469592666324992
Klüssendorf,Tim,timkluessendorf,19160769
Hönel,Bruno,bruno_hoenel,859112360228917249
Tankacheyev,Emil,emiltankacheyev,1412521460376145922
Monstadt,Dietrich,mdbmonstadt,1180102389275205632
Beckmann,Steffen,afdsteffen,1415598567134318592
Alabali-Radovan,Reem,reemalabali,1217456777643659269
Meffert,Yannik,yannik_meffert,1364963129797578752
Tamm,Claudia,fraupoel,943851995466694656
Junge,Frank Michael,jungeinberlin,77928749
Bohl,Daniel,danielbohlmv,968077583924584448
Stein,Peter,peter_stein_cdu,2885729417
Bartsch,Dietmar Gerhard,dietmarbartsch,2320519958
Reinhold,Hagen,reinholdmdb,925657781759332353
Tesche,Andreas,tescheandreas,1407643027607330818
Holm,Leif-Erik,leif_erik_holm,739531034761498624
Kassautzki,Anna Katharina,annakassautzki,2776064484
Müller,Claudia Heike,gruenclaudia,937403112
Amthor,Philipp,philipp_amthor,934016327567790080
Komning,Enrico,enricokomning,781747720897892352
Jaschinski,Toni,tonijaschinski,714907606645673985
Malottki,Erik,evmgreifswald,63240190
Horn,Katharina,gruenekatha,773830694237827072
Schielke-Ziesing,Ulrike,ulschzi,866924100
Arlt,Johannes,arlt_johannes,1262451438103465984
Vries,Christoph Bernhard,vrieschristoph,1193925069476696064
Muja,Manuel,muja_manuel,597575408
