GKZ1219;Gemeindename;bev_dicht;bev_entw;st_einnkr;beschq_insg;beschq_w;beschq_m;v_breitb50;v_breitb1000
1001000;Flensburg, Stadt;1700,57;1,29;1104;55,51;54,70;56,28;99,10;96,20
1002000;Kiel, Landeshauptstadt;2080,02;0,30;1149;56,06;53,25;58,92;99,10;89,70
1003000;Lübeck, Hansestadt;1010,92;0,20;1069;60,25;57,46;63,09;98,40;88,50
1004000;Neumünster, Stadt;1119,12;0,67;1028;61,29;57,89;64,53;98,70;96,00
1051001;Albersdorf;216,59;1,37;908;59,84;55,53;64,10;95,92;0,11
1051002;Arkebek;32,23;0,37;822;69,78;62,69;76,39;23,40;1,06
1051003;Averlak;61,15;-1,09;761;62,30;47,31;76,53;93,91;93,91
1051004;Bargenstedt;80,84;0,40;923;63,34;62,96;63,70;69,48;0,00
1051005;Barkenholm;31,90;-0,82;786;65,63;71,43;61,11;1,22;0,00
1051006;Barlt;32,87;-1,15;2019;60,65;51,10;69,96;68,42;0,00
1051008;Bergewöhrden;13,64;0,57;1185;61,90;61,54;62,50;0,00;0,00
1051010;Brickeln;34,93;0,58;684;60,87;52,46;67,53;84,78;73,91
1051011;Brunsbüttel, Stadt;189,85;-0,41;2960;64,31;54,80;73,11;94,31;1,11
1051012;Buchholz;68,54;-0,10;725;60,69;57,35;63,53;86,91;81,04
1051013;Büsum;578,66;0,74;1341;57,75;56,33;59,23;99,20;78,89
1051014;Büsumer Deichhausen;124,74;0,17;941;60,11;67,02;52,38;99,61;34,90
1051015;Bunsoh;66,13;-0,48;813;66,89;62,16;71,69;74,93;0,30
1051016;Burg (Dithmarschen);369,69;-0,12;696;61,13;53,18;69,20;93,41;0,68
1051017;Busenwurth;30,72;0,81;2228;65,36;53,01;76,04;0,72;0,72
1051019;Dellstedt;33,81;0,05;553;66,51;60,00;72,20;2,38;1,02
1051020;Delve;46,40;1,75;570;58,92;56,67;61,11;93,79;0,00
1051021;Diekhusen-Fahrstedt;91,55;-1,21;1162;63,10;51,74;75,60;68,65;47,30
1051022;Dingen;89,44;-0,10;1214;69,57;57,07;81,50;64,91;0,00
1051023;Dörpling;79,03;0,13;646;60,06;54,64;65,56;72,43;0,74
1051024;Eddelak;144,41;-0,63;789;68,87;57,28;79,86;92,08;80,03
1051026;Eggstedt;59,11;-0,08;610;66,81;60,09;73,06;94,97;94,08
