AGS;Gemeindename;v_lte
1001000;Flensburg;100
1002000;Kiel;99,95
1003000;Lübeck;99,97
1004000;Neumünster;100
1051001;Albersdorf;98,8
1051002;Arkebek;99,23
1051003;Averlak;96,72
1051004;Bargenstedt;97,84
1051005;Barkenholm;100
1051006;Barlt;99,75
1051008;Bergewöhrden;97,19
1051010;Brickeln;99,63
1051011;Brunsbüttel;99,79
1051012;Buchholz;99,65
1051013;Büsum;100
1051014;Büsumer Deichhausen;100
1051015;Bunsoh;97,4
1051016;Burg (Dithmarschen);100
1051017;Busenwurth;99,66
1051019;Dellstedt;99,98
1051020;Delve;98,67
1051021;Diekhusen-Fahrstedt;99,73
1051022;Dingen;91,15
1051023;Dörpling;99,96
1051024;Eddelak;90,37
1051026;Eggstedt;98,13
1051027;Elpersbüttel;99,24
1051028;Epenwöhrden;99,93
1051030;Fedderingen;98,06
1051032;Frestedt;99,22
1051033;Friedrichsgabekoog;99,93
1051034;Friedrichskoog;99,4
1051035;Gaushorn;100
1051036;Glüsing;99,07
1051037;Großenrade;97,79
1051038;Groven;99,9
1051039;Gudendorf;94,61
1051043;Hedwigenkoog;99,68
1051044;Heide;99,85
1051045;Hellschen-Heringsand-Unterschaar;99,9
1051046;Helse;99,32
1051047;Hemme;98,61
1051048;Hemmingstedt;99,85
1051049;Hennstedt;98,69
1051050;Hillgroven;100
1051051;Hochdonn;96,67
1051052;Hövede;99,74
1051053;Hollingstedt;97,86
1051054;Immenstedt;100
1051057;Kaiser-Wilhelm-Koog;99,13
1051058;Karolinenkoog;99,63
1051060;Kleve;97,65
1051061;Krempel;98,29
1051062;Kronprinzenkoog;99,05
1051063;Krumstedt;99,95
1051064;Kuden;93,46
1051065;Lehe;99,85
1051067;Lieth;99,72
1051068;Linden;99,59
1051069;Lohe-Rickelshof;100
1051071;Lunden;100
1051072;Marne;100
1051073;Marnerdeich;100
1051074;Meldorf;99,96
1051075;Neuenkirchen;98,56
1051076;Neufeld;99,12
1051077;Neufelderkoog;99,22
1051078;Nindorf;99,28
1051079;Norddeich;100
1051080;Norderheistedt;100
1051081;Norderwöhrden;99,86
1051082;Nordhastedt;99,96
1051083;Odderade;95,21
1051084;Oesterdeichstrich;100
1051085;Offenbüttel;99,08
1051086;Osterrade;99,66
1051087;Ostrohe;100
1051088;Pahlen;99,68
1051089;Quickborn;93,92
1051090;Ramhusen;99,8
1051092;Rehm-Flehde-Bargen;98,38
1051093;Reinsbüttel;99,93
1051096;Sankt Annen;99,01
1051097;Sankt Michaelisdonn;99,94
1051098;Sarzbüttel;96,91
1051099;Schafstedt;100
1051100;Schalkholz;98,52
1051102;Schlichting;97,71
1051103;Schmedeswurth;99,73
1051104;Schrum;100
1051105;Schülp;98,32
1051107;Stelle-Wittenwurth;99,98
1051108;Strübbel;98,77
1051109;Süderdeich;100
1051110;Süderhastedt;100
1051113;Wöhrden;99,74
1051114;Tellingstedt;99,99
1051117;Tielenhemme;99,17
1051118;Trennewurth;99,48
1051119;Volsemenhusen;100
1051120;Wallen;99,86
1051121;Warwerort;99,05
1051122;Weddingstedt;99,99
1051125;Welmbüttel;100
1051126;Wennbüttel;99,02
1051127;Wesselburen;100
1051128;Wesselburener Deichhausen;100
1051129;Wesselburenerkoog;99,75
1051130;Wesseln;100
1051131;Westerborstel;100
1051132;Westerdeichstrich;99,62
1051133;Wiemerstedt;99,46
1051134;Windbergen;98,1
1051135;Wolmersdorf;98,94
1051136;Wrohm;99,73
1051137;Nordermeldorf;99,96
1051138;Tensbüttel-Röst;95,79
1051139;Süderdorf;99,98
1051140;Oesterwurth;99,99
1051141;Süderheistedt;100
1053001;Albsfelde;100
1053002;Alt Mölln;100
1053003;Aumühle;100
1053004;Bäk;99,59
1053005;Bälau;100
1053006;Basedow;100
1053007;Basthorst;100
1053008;Behlendorf;99,8
1053009;Berkenthin;100
1053010;Besenthal;100
1053011;Bliestorf;100
1053012;Börnsen;100
1053013;Borstorf;99,34
1053014;Breitenfelde;100
1053015;Bröthen;90,49
1053016;Brunsmark;96,9
1053017;Brunstorf;98,42
1053018;Buchholz;100
1053019;Buchhorst;100
1053020;Büchen;100
1053021;Dahmker;100
1053022;Dalldorf;98,96
1053023;Dassendorf;97,83
1053024;Düchelsdorf;100
1053025;Duvensee;94,27
1053026;Einhaus;100
1053027;Elmenhorst;100
